p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
LTB	3.49751881869945e-39	1.95918224019442	0.82	0.143	6.29448461801339e-35	CD4+ Tcm	LTB
TRAC	5.39808992590712e-35	1.72520145143009	0.84	0.176	9.71494243965505e-31	CD4+ Tcm	TRAC
TIGIT	2.01959308821518e-31	1.13976727890984	0.38	0.032	3.63466168086085e-27	CD4+ Tcm	TIGIT
CD2	6.23102196609321e-30	1.40366778373573	0.7	0.126	1.12139702323779e-25	CD4+ Tcm	CD2
CD3D	1.53167499169078e-29	1.27264769254782	0.76	0.145	2.7565554825459e-25	CD4+ Tcm	CD3D
CD3E	3.34352178657127e-28	1.20486818805525	0.66	0.117	6.01733615929231e-24	CD4+ Tcm	CD3E
CD27	1.91107504833818e-26	1.02323143607675	0.44	0.054	3.43936176449422e-22	CD4+ Tcm	CD27
SPOCK2	7.33150188920038e-24	1.21242205114382	0.46	0.066	1.31945039499939e-19	CD4+ Tcm	SPOCK2
LCK	1.23492107805701e-21	1.13435631590362	0.52	0.1	2.2224874641792e-17	CD4+ Tcm	LCK
SELL	2.08645724685369e-20	1.18342078960461	0.36	0.049	3.75499710716258e-16	CD4+ Tcm	SELL
CTLA4	1.79444540941668e-19	1.33352313226889	0.3	0.034	3.2294634033272e-15	CD4+ Tcm	CTLA4
CORO1A	8.99986698130107e-19	1.17373881241811	0.74	0.238	1.61970606062475e-14	CD4+ Tcm	CORO1A
BTG1	1.23051400435665e-17	1.22150545990308	0.94	0.671	2.21455605364066e-13	CD4+ Tcm	BTG1
PTPRC	1.53170471346791e-17	1.12759602322803	0.66	0.199	2.75660897282819e-13	CD4+ Tcm	PTPRC
IL2RA	7.83733156291428e-17	0.94052670924603	0.3	0.041	1.41048456137768e-12	CD4+ Tcm	IL2RA
TNFRSF4	2.00725358117714e-16	1.71424776809206	0.38	0.069	3.6124542700445e-12	CD4+ Tcm	TNFRSF4
RGS1	1.07296719887092e-15	1.2325809449056	0.8	0.293	1.931019067808e-11	CD4+ Tcm	RGS1
B2M	1.63747590280341e-15	0.670779173041744	1	0.994	2.9469653822753e-11	CD4+ Tcm	B2M
RPS29	2.96658900486121e-15	0.676644454621632	0.98	0.97	5.33897023204871e-11	CD4+ Tcm	RPS29
TRBC2	3.87561191506265e-15	1.17672427706185	0.48	0.112	6.97493876353825e-11	CD4+ Tcm	TRBC2
TRBC1	4.37830671796105e-15	1.30222428288293	0.42	0.09	7.8796386003145e-11	CD4+ Tcm	TRBC1
CD7	6.10084119751852e-15	1.31676775862658	0.46	0.108	1.09796839031741e-10	CD4+ Tcm	CD7
TNFRSF18	1.30088742808353e-14	1.30734348914606	0.34	0.061	2.34120710432193e-10	CD4+ Tcm	TNFRSF18
CD6	1.40846356032088e-14	0.915171408212442	0.26	0.035	2.53481186950949e-10	CD4+ Tcm	CD6
CYTIP	1.79773823995645e-14	1.03213880190106	0.56	0.167	3.23538951044962e-10	CD4+ Tcm	CYTIP
RPS27	2.03120456780083e-14	0.591371427365879	0.98	0.995	3.65555886067116e-10	CD4+ Tcm	RPS27
IL32	3.19707838506e-14	1.2253096787632	0.84	0.522	5.75378196959248e-10	CD4+ Tcm	IL32
IL2RG	3.42192931185507e-14	1.11525832927297	0.5	0.136	6.15844618254558e-10	CD4+ Tcm	IL2RG
CXCR4	5.63739898845455e-14	1.03945476775715	0.78	0.318	1.01456269595217e-09	CD4+ Tcm	CXCR4
TBC1D10C	6.80913165550998e-13	0.915492803158053	0.36	0.076	1.22543942404213e-08	CD4+ Tcm	TBC1D10C
HLA-A	8.08749045922027e-13	0.778301900335964	0.98	0.883	1.45550565794587e-08	CD4+ Tcm	HLA-A
CD247	8.30729104273837e-13	0.690999233346285	0.34	0.065	1.49506316896162e-08	CD4+ Tcm	CD247
PBXIP1	1.43500552787174e-12	1.1525595562262	0.48	0.151	2.58257944851078e-08	CD4+ Tcm	PBXIP1
CD52	2.90475651707582e-12	0.833436744369068	0.8	0.326	5.22769030378136e-08	CD4+ Tcm	CD52
IL7R	4.45085529386602e-12	1.14652721601989	0.46	0.128	8.01020427237068e-08	CD4+ Tcm	IL7R
SIT1	1.01527317056942e-11	0.819340092367893	0.28	0.052	1.82718712507379e-07	CD4+ Tcm	SIT1
BATF	1.07815222926152e-11	1.47251322170197	0.4	0.11	1.94035056700195e-07	CD4+ Tcm	BATF
HLA-B	1.4819861453294e-11	0.69000797218252	1	0.906	2.66713046574933e-07	CD4+ Tcm	HLA-B
CORO1B	1.76354074522548e-11	1.04898546492954	0.74	0.427	3.17384427918229e-07	CD4+ Tcm	CORO1B
EVL	2.81736292245711e-11	1.0150685397338	0.58	0.226	5.07040805154606e-07	CD4+ Tcm	EVL
PTPRCAP	2.98701763574307e-11	0.703076978298146	0.44	0.119	5.3757356390468e-07	CD4+ Tcm	PTPRCAP
SEPTIN6	4.79069607399542e-11	1.20710283455396	0.44	0.141	8.62181572436956e-07	CD4+ Tcm	SEPTIN6
HLA-E	1.04132593267584e-10	0.938728063324321	0.8	0.608	1.8740742810367e-06	CD4+ Tcm	HLA-E
CLEC2D	1.50439301585954e-10	0.917846254275563	0.4	0.117	2.70745611064241e-06	CD4+ Tcm	CLEC2D
ARHGDIB	1.79595140458096e-10	0.838828722253661	0.76	0.403	3.23217374282436e-06	CD4+ Tcm	ARHGDIB
SLA	2.77031158781519e-10	0.933484845527236	0.44	0.136	4.98572976459101e-06	CD4+ Tcm	SLA
PIK3IP1	5.81035612350815e-10	0.999222297681861	0.42	0.135	1.04568979154776e-05	CD4+ Tcm	PIK3IP1
HLA-C	5.96339649620001e-10	0.786807716403958	0.86	0.801	1.07323246742112e-05	CD4+ Tcm	HLA-C
RAC2	1.39494446768565e-09	0.989792316480472	0.58	0.258	2.51048155849387e-05	CD4+ Tcm	RAC2
TSC22D3	1.46284430626286e-09	0.892808098296754	0.78	0.522	2.63268089798126e-05	CD4+ Tcm	TSC22D3
RPS25	1.56261802704982e-09	0.45636178337098	0.98	0.975	2.81224366328156e-05	CD4+ Tcm	RPS25
FYB1	1.62484659919157e-09	0.972513552914067	0.48	0.175	2.92423642456506e-05	CD4+ Tcm	FYB1
KLRB1	2.50103605795959e-09	1.42729711663621	0.34	0.089	4.50111459350988e-05	CD4+ Tcm	KLRB1
LPXN	2.76713279601558e-09	0.745020909914484	0.34	0.096	4.98000889298924e-05	CD4+ Tcm	LPXN
TRAF3IP3	3.67246337518649e-09	0.971980031653269	0.32	0.086	6.60933233632313e-05	CD4+ Tcm	TRAF3IP3
ACAP1	8.01352664499316e-09	1.05991856720185	0.44	0.161	0.000144219439029942	CD4+ Tcm	ACAP1
RPSA	1.36723708017803e-08	0.615037164581865	0.9	0.875	0.00024606165731964	CD4+ Tcm	RPSA
EEF1A1	4.89528726480161e-08	0.448074459133414	1	0.979	0.000881004849046346	CD4+ Tcm	EEF1A1
ITM2A	8.669552122063e-08	0.63816578063973	0.34	0.105	0.00156025929540768	CD4+ Tcm	ITM2A
TXNIP	1.26506582926269e-07	0.768372894574547	0.78	0.553	0.00227673897292406	CD4+ Tcm	TXNIP
CD48	1.30546613967502e-07	0.720186910617757	0.4	0.142	0.00234944741157313	CD4+ Tcm	CD48
RPL30	1.32438532609224e-07	0.461709018530197	0.94	0.959	0.00238349627136821	CD4+ Tcm	RPL30
CD69	1.35128530925581e-07	0.851110739639478	0.44	0.165	0.00243190817106767	CD4+ Tcm	CD69
RPLP1	1.59396565898521e-07	0.389128627668851	1	0.993	0.00286865999647567	CD4+ Tcm	RPLP1
CD37	1.85657430966652e-07	0.655887438172577	0.56	0.246	0.00334127678510683	CD4+ Tcm	CD37
